testcase,result
Positive_AddReaderToGroupSystemExistingNotExisting_P0,PRODUCT
Positive_AddReaderToGroupUserExistingNotExisting_P0,PRODUCT
Negative_AddReaderToGroupSystemNotExistingNotExisting_P2,PRODUCT
Negative_AddReaderToGroupUserNotExistingNotExisting_P2,PRODUCT
Negative_ForgetReaderSystemNameInvalid_P2,PRODUCT
Negative_ForgetReaderUserNameInvalid_P2,PRODUCT
Positive_ForgetReaderGroupSystemValidName_P0,BLOCKED
Positive_ForgetReaderGroupUserValidName_P0,BLOCKED
Positive_ForgetReaderGroupNullContextValidName_P2,BLOCKED
Positive_ForgetReaderGroupSystemInvalidName_P2,PRODUCT
Positive_ForgetReaderGroupUserInvalidName_P2,PRODUCT
Positive_ForgetReaderGroupNullContextInvalidName_P2,PRODUCT
Positive_GetAttribSystemSharedT0ChanIDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0ChanIDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CharEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CharEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurBWTEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurBWTEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurCLKEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurCLKEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurCWTEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurCWTEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurEBCEncEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurEBCEncEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurFEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurFEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurIFSCEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurIFSCEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurIFSDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurIFSDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurNEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurNEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurProTypeEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurProTypeEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurWEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0CurWEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0DefCLKEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0DefCLKEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0DefDataRateEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0DefDataRateEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0DevFrdNameEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0DevFrdNameEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0DevInUseEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0DevInUseEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0DevSysNameEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0DevSysNameEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0DevUnitEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0DevUnitEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0ICCInterStsEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0ICCInterStsEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0ICCPreEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0ICCPreEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0ICCTypePerAtrEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0ICCTypePerAtrEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0MaxCLKEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0MaxCLKEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0MaxDataRateEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0MaxDataRateEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0MaxIFSDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0MaxIFSDEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0PowMGMTSupEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0PowMGMTSupEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0ProTypesEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0ProTypesEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0VenIFDSerNOEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0VenIFDSerNOEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0VenIFDTypeEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0VenIFDTypeEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0VenIFDVerEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0VenIFDVerEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0VenNameEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribUserSharedT0VenNameEnoughPreallocValidLen_P0,PRODUCT
Positive_GetAttribSystemSharedT0ChanIDAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0ChanIDAutoalloc_P0,PRODUCT
Positive_GetAttribSystemSharedT0CurProTypeAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0CurProTypeAutoalloc_P0,PRODUCT
Positive_GetAttribSystemSharedT0DevFrdNameAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0DevFrdNameAutoalloc_P0,PRODUCT
Positive_GetAttribSystemSharedT0DevSysNameAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0DevSysNameAutoalloc_P0,PRODUCT
Positive_GetAttribSystemSharedT0ICCInterStsAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0ICCInterStsAutoalloc_P0,PRODUCT
Positive_GetAttribSystemSharedT0ICCPreAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0ICCPreAutoalloc_P0,PRODUCT
Positive_GetAttribSystemSharedT0VenIFDVerAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0VenIFDVerAutoalloc_P0,PRODUCT
Positive_GetAttribSystemSharedT0VenNameAutoalloc_P0,PRODUCT
Positive_GetAttribUserSharedT0VenNameAutoalloc_P0,PRODUCT
Positive_IntroduceReaderUser_P0,PRODUCT
Positive_IntroduceReaderSystem_P0,PRODUCT
Negative_IntroduceReaderUserNotExistingNameNotExistingName_P2,PRODUCT
Negative_IntroduceReaderSystemNotExistingNameNotExistingName_P2,PRODUCT
Negative_IntroduceReaderUserExistingNameExistingName_P2,PRODUCT
Negative_IntroduceReaderSystemExistingNameExistingName_P2,PRODUCT
Negative_IntroduceReaderUserExistingNameNotExistingName_P2,PRODUCT
Negative_IntroduceReaderSystemExistingNameNotExistingName_P2,PRODUCT
Positive_IntroduceReaderGroupUser_P0,PRODUCT
Positive_IntroduceReaderGroupSystem_P0,PRODUCT
Positive_IntroduceReaderGroupNullContext_P2,PRODUCT
Positive_ListReaderGroupsUserNonpreallocZero_P2,PRODUCT
Negative_ListReaderGroupsUserPreallocSmallValidLen_P2,PRODUCT
Positive_ListReaderGroupsUserPreallocEnoughValidLen_P1,PRODUCT
Positive_ListReaderGroupsUserAutoalloc_P0,PRODUCT
Positive_ListReaderGroupsSystemNonpreallocZero_P2,PRODUCT
Negative_ListReaderGroupsSystemPreallocSmallValidLen_P2,PRODUCT
Positive_ListReaderGroupsSystemPreallocEnoughValidLen_P1,PRODUCT
Positive_ListReaderGroupsSystemAutoalloc_P0,PRODUCT
Positive_ListReaderGroupsNULLContextNonpreallocZero_P2,PRODUCT
Negative_ListReaderGroupsNULLContextPreallocSmallValidLen_P2,PRODUCT
Positive_ListReaderGroupsNULLContextPreallocEnoughValidLen_P1,PRODUCT
Positive_ListReaderGroupsNULLContextAutoalloc_P0,PRODUCT
Positive_ListReadersSystemAllReadersEnoughPreallocValidLen_P0,PRODUCT
Positive_ListReadersUserAllReadersEnoughPreallocValidLen_P0,PRODUCT
Positive_ListReadersSystemDefaultReadersEnoughPreallocValidLen_P0,PRODUCT
Positive_ListReadersUserDefaultReadersEnoughPreallocValidLen_P0,PRODUCT
Positive_ListReadersSystemNullEnoughPreallocValidLen_P0,PRODUCT
Positive_ListReadersUserNullEnoughPreallocValidLen_P0,PRODUCT
Positive_ListReadersSystemAllReadersAutoalloc_P0,PRODUCT
Positive_ListReadersUserAllReadersAutoalloc_P0,PRODUCT
Positive_ListReadersSystemDefaultReadersAutoalloc_P0,PRODUCT
Positive_ListReadersUserDefaultReadersAutoalloc_P0,PRODUCT
Positive_ListReadersSystemNullAutoalloc_P0,PRODUCT
Positive_ListReadersUserNullAutoalloc_P0,PRODUCT
Positive_ListReadersSystem1GroupBEnoughPreallocValidLen_P0,BLOCKED
Positive_ListReadersUser1GroupBEnoughPreallocValidLen_P0,BLOCKED
Positive_ListReadersNullContext1GroupBEnoughPreallocValidLen_P0,BLOCKED
Positive_ListReadersSystem1GroupCEnoughPreallocValidLen_P0,BLOCKED
Positive_ListReadersUser1GroupCEnoughPreallocValidLen_P0,BLOCKED
